,len_original,ip_id,total_length,fragment_offset,ip_src,ip_dst,tcp_src,tcp_dst,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
0,66.0,12917.0,32.0,64.0,3232236018.0,1746210817.0,33667.0,80.0,1986446302.0,2171756607.0,8.0,1460.0
1,74.0,326.0,40.0,64.0,841938921.0,3232236018.0,38753.0,51413.0,3352638593.0,0.0,10.0,42340.0
2,54.0,34256.0,20.0,64.0,3164783619.0,3232236018.0,14166.0,51413.0,3581319104.0,1995706537.0,5.0,64240.0
3,896.0,24598.0,862.0,64.0,3232235911.0,3104298502.0,3389.0,1070.0,180739039.0,2614873660.0,5.0,63752.0
4,66.0,49285.0,32.0,64.0,3103937295.0,3232236018.0,443.0,59789.0,2618761810.0,820543234.0,8.0,504.0
5,139.0,36440.0,105.0,64.0,3271810869.0,3232235911.0,62205.0,3389.0,3469078407.0,1009108663.0,5.0,1022.0
6,60.0,62307.0,20.0,64.0,3232236018.0,3170063153.0,51413.0,58389.0,2799725032.0,2952038278.0,5.0,1728.0
7,74.0,0.0,40.0,64.0,3232236018.0,1536488137.0,51413.0,39174.0,1219073824.0,1685557951.0,10.0,5792.0
8,54.0,55443.0,20.0,64.0,1399049233.0,3232236018.0,63975.0,51413.0,3083496001.0,1855531727.0,5.0,1026.0
9,74.0,62907.0,40.0,64.0,1746728843.0,3232236018.0,63607.0,51413.0,1316560306.0,0.0,10.0,65535.0
10,74.0,62599.0,40.0,64.0,3232236018.0,3646092062.0,45720.0,51413.0,2124659772.0,0.0,10.0,5840.0
11,66.0,13535.0,32.0,64.0,3266588808.0,3232235911.0,6627.0,3389.0,2456707522.0,0.0,8.0,64240.0
12,134.0,4249.0,100.0,64.0,2481666962.0,3232236018.0,53081.0,51413.0,1217159486.0,1163142822.0,8.0,83.0
13,380.0,33833.0,346.0,64.0,3104298606.0,3232235911.0,18211.0,3389.0,1674890713.0,3006546623.0,5.0,1023.0
14,731.0,60649.0,697.0,64.0,3109781354.0,3232235911.0,64125.0,3389.0,4248002697.0,3807816060.0,5.0,1021.0
15,60.0,52112.0,20.0,64.0,3232236018.0,634797168.0,51413.0,7276.0,3040657663.0,1506272300.0,5.0,1460.0
16,66.0,63365.0,32.0,64.0,3232236018.0,1868205338.0,44272.0,443.0,2730800345.0,4150914551.0,8.0,1174.0
17,115.0,13310.0,81.0,64.0,3103937295.0,3232236018.0,443.0,37129.0,121549846.0,4037098649.0,8.0,502.0
18,66.0,61324.0,32.0,64.0,1595947812.0,3232236018.0,61208.0,51413.0,1170519167.0,0.0,8.0,64240.0
19,54.0,19475.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671894828.0,2724851642.0,5.0,6145.0
20,139.0,21790.0,105.0,64.0,3271810869.0,3232235911.0,60097.0,3389.0,2788461875.0,2353617085.0,5.0,1022.0
21,66.0,46763.0,32.0,64.0,1599021298.0,3232236018.0,22830.0,51413.0,3053483389.0,0.0,8.0,64240.0
22,66.0,35298.0,32.0,64.0,3232235911.0,3113450631.0,3389.0,53922.0,444803773.0,2855909056.0,8.0,64000.0
23,74.0,48023.0,40.0,64.0,1536489026.0,3232236018.0,37416.0,51413.0,1982128500.0,0.0,10.0,64240.0
24,54.0,63264.0,20.0,64.0,3278027714.0,3232236018.0,63618.0,51413.0,1336211660.0,3647033743.0,5.0,1026.0
25,896.0,7331.0,862.0,64.0,3232235911.0,3106540651.0,3389.0,62797.0,2691883318.0,1370489457.0,5.0,63752.0
26,97.0,25124.0,63.0,64.0,3232235981.0,64075654.0,48367.0,443.0,3350962114.0,2240168292.0,8.0,4171.0
27,66.0,57802.0,32.0,64.0,3232236018.0,2997846923.0,43779.0,443.0,950555942.0,3918135546.0,8.0,1174.0
28,1514.0,20256.0,1480.0,64.0,3103937295.0,3232236018.0,443.0,34394.0,1695340400.0,1866979557.0,8.0,506.0
29,66.0,42862.0,32.0,64.0,774371172.0,3232236018.0,57944.0,51413.0,3350313514.0,0.0,8.0,64240.0
30,54.0,17658.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671889013.0,2719276662.0,5.0,6145.0
31,54.0,11419.0,20.0,64.0,773791616.0,3232236018.0,31111.0,51413.0,419475429.0,3060585377.0,5.0,255.0
32,66.0,57621.0,32.0,64.0,3232236018.0,1746223105.0,40150.0,80.0,728074482.0,1779083543.0,8.0,1173.0
33,66.0,0.0,32.0,64.0,3232236018.0,1595440921.0,51413.0,1100.0,1180364399.0,3812489914.0,8.0,5840.0
34,66.0,38095.0,32.0,64.0,94789455.0,3232236018.0,56846.0,51413.0,709348686.0,2395021477.0,8.0,255.0
35,66.0,0.0,32.0,64.0,3232236018.0,783800982.0,51413.0,59070.0,2485998834.0,958908453.0,8.0,5840.0
36,66.0,16615.0,32.0,64.0,1522330932.0,3232236018.0,50800.0,51413.0,3337795338.0,0.0,8.0,64240.0
37,74.0,62647.0,40.0,64.0,784099723.0,3232236018.0,31905.0,51413.0,3987719905.0,0.0,10.0,42340.0
38,66.0,45352.0,32.0,64.0,755987092.0,3232236018.0,52731.0,51413.0,925212534.0,0.0,8.0,65535.0
39,1514.0,58578.0,1480.0,64.0,3103937295.0,3232236018.0,443.0,34561.0,2012033209.0,608796833.0,8.0,506.0
40,66.0,14103.0,32.0,64.0,3232236018.0,3103937295.0,34572.0,443.0,1056656075.0,231401235.0,8.0,1174.0
41,54.0,13704.0,20.0,64.0,3266588808.0,3232235911.0,22911.0,3389.0,4268323934.0,3686084773.0,5.0,1026.0
42,73.0,9659.0,39.0,64.0,3232235911.0,3104298607.0,3389.0,14974.0,3891903309.0,485216394.0,5.0,63957.0
43,113.0,27123.0,79.0,64.0,3232235911.0,3271810869.0,3389.0,55367.0,1901314606.0,4092884774.0,5.0,63426.0
44,66.0,26120.0,32.0,64.0,1546369527.0,3232236018.0,17485.0,51413.0,3335147711.0,0.0,8.0,64240.0
45,66.0,46300.0,32.0,64.0,3103937295.0,3232236018.0,443.0,35740.0,2592983673.0,3790064244.0,8.0,506.0
46,66.0,11651.0,32.0,64.0,1605269396.0,3232236018.0,53767.0,51413.0,572138311.0,0.0,8.0,64240.0
47,74.0,0.0,40.0,64.0,3232236018.0,1380103521.0,51413.0,48779.0,3528744729.0,3316778976.0,10.0,5792.0
48,60.0,44068.0,20.0,64.0,3232236018.0,3557280651.0,51413.0,40592.0,1032892306.0,3687686339.0,5.0,1728.0
49,97.0,15430.0,63.0,64.0,3113450594.0,3232235911.0,60230.0,3389.0,542692239.0,2803834925.0,5.0,8212.0
50,74.0,0.0,40.0,64.0,3232236018.0,1382423459.0,51413.0,45283.0,1912175727.0,2463198468.0,10.0,5792.0
51,117.0,35220.0,83.0,64.0,3232236018.0,1868205338.0,34279.0,443.0,3167628350.0,3674232847.0,8.0,1422.0
52,604.0,5154.0,570.0,64.0,1604650397.0,3232236018.0,57377.0,51413.0,1241331603.0,3661825447.0,8.0,502.0
53,66.0,15678.0,32.0,64.0,1547481984.0,3232236018.0,59098.0,51413.0,37514035.0,0.0,8.0,65535.0
54,74.0,24156.0,40.0,64.0,1380103521.0,3232236018.0,35453.0,51413.0,2345539485.0,0.0,10.0,65535.0
55,380.0,18289.0,346.0,64.0,3104298609.0,3232235911.0,19896.0,3389.0,1588485849.0,1292746783.0,5.0,1023.0
56,66.0,57787.0,32.0,64.0,3232236018.0,2454113464.0,51413.0,61284.0,1149101817.0,1497277691.0,8.0,1448.0
57,66.0,0.0,32.0,64.0,3232236018.0,634790261.0,51413.0,3357.0,3458554314.0,4245678640.0,8.0,5840.0
58,54.0,21162.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671899895.0,2729710474.0,5.0,6145.0
59,74.0,17665.0,40.0,64.0,3187836335.0,3232236018.0,50143.0,51413.0,3222865288.0,0.0,10.0,64240.0
60,435.0,57777.0,401.0,64.0,3232236018.0,2997846923.0,43779.0,443.0,950551099.0,3918131855.0,8.0,1174.0
61,74.0,0.0,40.0,64.0,1746214913.0,3232236018.0,80.0,46813.0,545587541.0,2579713023.0,10.0,65535.0
62,66.0,16837.0,32.0,64.0,2995579662.0,3232236018.0,56618.0,51413.0,3423500029.0,0.0,8.0,64240.0
63,66.0,48527.0,32.0,64.0,3120450341.0,3232236018.0,56861.0,51413.0,235762120.0,0.0,8.0,64320.0
64,187.0,49625.0,153.0,64.0,1599260835.0,3232236018.0,53126.0,51413.0,2427915212.0,238153487.0,5.0,1025.0
65,54.0,49504.0,20.0,64.0,780810394.0,3232236018.0,3495.0,51413.0,3965276854.0,1293973587.0,5.0,513.0
66,66.0,12463.0,32.0,64.0,3119960779.0,3232236018.0,61137.0,51413.0,651098752.0,0.0,8.0,64240.0
67,66.0,11642.0,32.0,64.0,1315650231.0,3232236018.0,21625.0,51413.0,3863242332.0,0.0,8.0,8192.0
68,74.0,32838.0,40.0,64.0,1502994952.0,3232236018.0,59542.0,51413.0,3024150686.0,0.0,10.0,65535.0
69,54.0,31991.0,20.0,64.0,2962573905.0,3232236018.0,57857.0,51413.0,2086230810.0,2098268823.0,5.0,255.0
70,60.0,8474.0,20.0,64.0,3232236018.0,1540318883.0,51413.0,56751.0,2463603933.0,1908706357.0,5.0,1460.0
71,74.0,61950.0,40.0,64.0,1595409663.0,3232236018.0,23031.0,51413.0,706598236.0,0.0,10.0,64240.0
