,len_original,ip_id,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
0,66.0,0.0,32.0,64.0,1075159300.0,14445666.0,8.0,5840.0
1,66.0,0.0,32.0,64.0,1075159300.0,14445666.0,8.0,5840.0
2,54.0,4070.0,20.0,64.0,14445666.0,1075159300.0,5.0,255.0
3,161.0,4071.0,127.0,64.0,14445666.0,1075159300.0,5.0,255.0
4,60.0,31650.0,20.0,64.0,1075159300.0,14445773.0,5.0,1460.0
5,57.0,4072.0,23.0,64.0,14445773.0,1075159300.0,5.0,255.0
6,60.0,31651.0,20.0,64.0,1075159300.0,14445776.0,5.0,1460.0
7,60.0,31652.0,20.0,64.0,1075159300.0,14445776.0,5.0,1460.0
8,74.0,0.0,40.0,64.0,1066667200.0,1631864700.0,10.0,5792.0
9,74.0,0.0,40.0,64.0,1066667200.0,1631864700.0,10.0,5792.0
10,66.0,1055.0,32.0,64.0,1631864700.0,1066667200.0,8.0,502.0
11,134.0,1056.0,100.0,64.0,1631864700.0,1066667200.0,8.0,502.0
12,66.0,54880.0,32.0,64.0,1066667200.0,1631864800.0,8.0,1448.0
13,66.0,54881.0,32.0,64.0,1066667200.0,1631864800.0,8.0,1448.0
14,66.0,0.0,32.0,64.0,1080271700.0,3529206500.0,8.0,5840.0
15,66.0,0.0,32.0,64.0,1080271700.0,3529206500.0,8.0,5840.0
16,54.0,34389.0,20.0,64.0,3529206500.0,1080271700.0,5.0,255.0
17,122.0,34390.0,88.0,64.0,3529206500.0,1080271700.0,5.0,255.0
18,60.0,31157.0,20.0,64.0,1080271700.0,3529206500.0,5.0,1460.0
19,60.0,31158.0,20.0,64.0,1080271700.0,3529206500.0,5.0,1460.0
20,66.0,51914.0,32.0,64.0,903823940.0,3458845400.0,8.0,64000.0
21,66.0,51914.0,32.0,64.0,903823940.0,3458845400.0,8.0,64000.0
22,54.0,19992.0,20.0,64.0,3458845400.0,903823940.0,5.0,513.0
